SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,568 S Pearl Expy,Dallas,TX,75201,629900,3,3.5,Intown Homes at Farmers Market,2138,1176,2016,64,295,170,Active,,,http://www.redfin.com/TX/Dallas/568-S-Pearl-Expy-75201/home/59419848,NTREIS,14467399,N,Y,32.7791277,-96.7904953
MLS Listing,,Townhouse,2119 Albany St,Dallas,TX,75201,585000,2,2.5,TWENTY 01 HUNDRED,2314,1481,2007,75,253,105,Active,,,http://www.redfin.com/TX/Dallas/2119-Albany-St-75201/home/30773045,NTREIS,14459584,N,Y,32.7804672,-96.7905859
MLS Listing,,Townhouse,2120 Helsminster Dr,Dallas,TX,75201,630000,3,3.5,Intown Homes Farmers Market,2306,1612,2013,11,273,170,Active,January-10-2021 12:00 PM,January-10-2021 03:00 PM,http://www.redfin.com/TX/Dallas/2120-Helsminster-Dr-75201/home/59419671,NTREIS,14491649,N,Y,32.7790165,-96.789913
MLS Listing,,Townhouse,1379 Arch Pl,Dallas,TX,75215,499900,3,4.0,Southside Place Add 1,2657,1655,2018,197,188,125,Active,,,http://www.redfin.com/TX/Dallas/1379-Arch-Pl-75215/home/114031019,NTREIS,14374441,N,Y,32.7692817,-96.7953276
MLS Listing,,Single Family Residential,1537 Cosette Dr,Dallas,TX,75215,509900,2,2.5,Cedars,2083,2614,2020,4,245,167,Active,,,http://www.redfin.com/TX/Dallas/1537-Cosette-DR-75215/home/173568351,NTREIS,14494739,N,Y,32.771768,-96.79108
New Construction Plan,,Single Family Residential,Juniper,Dallas,TX,75215,499000,2,2.5,Cedars,2085,,,,239,,Active,,,http://www.redfin.com/TX/Dallas/Cedars/Juniper/home/173959200,NewHomeSource.com,Plan-141855809,N,Y,32.772216,-96.790649
New Construction Plan,,Single Family Residential,Sage,Dallas,TX,75215,499000,2,2.5,Cedars,2293,,,,218,,Active,,,http://www.redfin.com/TX/Dallas/Cedars/Sage/home/173959199,NewHomeSource.com,Plan-141861625,N,Y,32.772216,-96.790649
New Construction Home,,Single Family Residential,1529 Cosette Dr,Dallas,TX,75215,499900,2,2.5,Cedars,,,2020,25,,,Active,,,http://www.redfin.com/TX/Dallas/1529-Cosette-DR-75215/home/173675966,NewHomeSource.com,1976840,N,Y,32.772216,-96.790649
MLS Listing,,Condo/Co-op,1001 Belleview St #401,Dallas,TX,75215,369500,2,1.5,Beat At The South Side Station,1336,,2007,77,277,492,Active,,,http://www.redfin.com/TX/Dallas/1001-Belleview-St-75215/unit-401/home/30788701,NTREIS,14459061,N,Y,32.7686977,-96.7950343
MLS Listing,,Condo/Co-op,2220 Canton St #401,Dallas,TX,75201,615000,2,2.5,Canton Loft 2220,2552,41774,1925,74,241,1117,Active,,,http://www.redfin.com/TX/Dallas/2220-Canton-St-75201/unit-401/home/31170760,NTREIS,14448312,N,Y,32.7803008,-96.7894358
MLS Listing,,Condo/Co-op,2220 Canton St #302,Dallas,TX,75201,519000,1,1.5,Canton Loft 2220,2320,41774,1925,100,224,1015,Active,,,http://www.redfin.com/TX/Dallas/2220-Canton-St-75201/unit-302/home/31170750,NTREIS,14444832,N,Y,32.7803008,-96.7894358
MLS Listing,,Townhouse,2216 City Market Ln,Dallas,TX,75201,582500,3,2.5,Farmers Market Townhome 02,2919,2614,2007,344,200,100,Active,,,http://www.redfin.com/TX/Dallas/2216-City-Market-Ln-75201/home/30773114,NTREIS,14271446,N,Y,32.7787711,-96.7875379
MLS Listing,,Townhouse,2226 City Market Ln,Dallas,TX,75201,689000,3,2.5,Farmers Market Twnhm 02,2919,2788,2008,62,236,125,Active,,,http://www.redfin.com/TX/Dallas/2226-City-Market-Ln-75201/home/30773105,NTREIS,14432949,N,Y,32.7788928,-96.7873427
MLS Listing,,Townhouse,1224 Hyde Ct,Dallas,TX,75215,444000,3,3.5,Mckee Street Twnhms #3,2087,1176,2017,78,213,125,Active,,,http://www.redfin.com/TX/Dallas/1234-Hyde-Ct-75215/home/147235833,NTREIS,14459339,N,Y,32.7681369,-96.7916173
MLS Listing,,Condo/Co-op,2502 Live Oak St #237,Dallas,TX,75204,199999,1,1.0,Live Oak Lofts Condo,804,65122,1998,204,249,277,Active,,,http://www.redfin.com/TX/Dallas/2502-Live-Oak-St-75204/unit-237/home/30731383,NTREIS,14369587,N,Y,32.7866012,-96.7915715
MLS Listing,,Condo/Co-op,2502 Live Oak St #107,Dallas,TX,75204,175000,0,1.0,Live Oak Lofts Condo,681,,1998,32,257,244,Active,,,http://www.redfin.com/TX/Dallas/2502-Live-Oak-St-75204/unit-107/home/30731326,NTREIS,14482867,N,Y,32.7866012,-96.7915715
MLS Listing,,Condo/Co-op,2502 Live Oak St #201,Dallas,TX,75204,212500,3,1.0,Live Oak Lofts Condo,851,65122,1998,20,250,313,Active,,,http://www.redfin.com/TX/Dallas/2502-Live-Oak-St-75204/unit-201/home/30731349,NTREIS,14487234,N,Y,32.7866012,-96.7915715
MLS Listing,,Condo/Co-op,509 Elm St #202,Dallas,TX,75202,295000,1,2.0,509 Elm Placeresidences,1487,9583,1930,115,198,790,Active,,,http://www.redfin.com/TX/Dallas/509-Elm-St-75202/unit-202/home/32199207,NTREIS,14435757,N,Y,32.7796922,-96.8080587
MLS Listing,,Condo/Co-op,509 Elm St #604,Dallas,TX,75202,430000,3,3.0,Elm Place Residences,2522,203991,1930,128,170,1340,Active,,,http://www.redfin.com/TX/Dallas/509-Elm-St-75202/unit-604/home/32199291,NTREIS,14420452,N,Y,32.7796922,-96.8080587
MLS Listing,,Condo/Co-op,1813 Park Ave #202,Dallas,TX,75215,450000,2,2.5,C W GUILDS PARK AVENUE,1917,,2021,64,235,180,Active,,,http://www.redfin.com/TX/Dallas/1813-Park-Ave-75215/unit-202/home/173640448,NTREIS,14467412,N,Y,32.771898,-96.785307
MLS Listing,,Condo/Co-op,1813 Park Ave #203,Dallas,TX,75215,450000,2,2.5,C W GUILDS PARK AVENUE,1917,,2021,31,235,180,Active,,,http://www.redfin.com/TX/Dallas/1813-Park-Ave-75215/unit-203/home/173916545,NTREIS,14483638,N,Y,32.771898,-96.785307
MLS Listing,,Condo/Co-op,1918 Olive St Unit 202C,Dallas,TX,75201,1575000,2,2.0,Museum Tower Condo,2902,,2014,92,543,2728,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-202C/home/173382515,NTREIS,14450485,N,Y,32.7891925,-96.8000171
MLS Listing,,Condo/Co-op,1918 Olive St Unit 1503A,Dallas,TX,75201,1800000,2,2.0,Museum Tower Condo,2495,,2011,7,721,2346,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-1503A/home/174104604,NTREIS,14493171,N,Y,32.7891925,-96.8000171
MLS Listing,,Condo/Co-op,1918 Olive St #1901,Dallas,TX,75201,5995000,3,3.5,Museum Tower Condominium,4998,67649,2011,5,1199,3852,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-1901/home/30782857,NTREIS,14492953,N,Y,32.7892064,-96.8003908
MLS Listing,,Condo/Co-op,1747 Leonard St #303,Dallas,TX,75201,5100000,4,4.5,Hall Arts Residences,4702,,2020,25,1085,4504,Active,,,http://www.redfin.com/TX/Dallas/1747-Leonard-St-75201/unit-303/home/172947194,NTREIS,14486708,N,Y,32.7896757,-96.7968279
MLS Listing,,Condo/Co-op,1747 Leonard St #803,Dallas,TX,75201,3400000,3,3.5,Hall Arts Residences,2918,,2020,176,1165,2795,Active,,,http://www.redfin.com/TX/Dallas/1747-Leonard-St-75201/unit-803/home/172516273,NTREIS,14389596,N,Y,32.7896757,-96.7968279
MLS Listing,,Condo/Co-op,1747 Leonard St #1401,Dallas,TX,75201,4200000,3,3.5,HALL Arts Residences,3838,,2020,37,1094,3830,Active,,,http://www.redfin.com/TX/Dallas/1747-Leonard-St-75201/unit-1401/home/173845557,NTREIS,14480744,N,Y,32.7896757,-96.7968279
MLS Listing,,Condo/Co-op,1747 Leonard St #2201,Dallas,TX,75201,4367150,3,3.5,HALL Arts Residences,4597,,2020,99,950,4632,Active,,,http://www.redfin.com/TX/Dallas/1747-Leonard-St-75201/unit-2201/home/173339497,NTREIS,14445307,N,Y,32.7896757,-96.7968279
MLS Listing,,Condo/Co-op,1747 Leonard St #201,Dallas,TX,75201,2800000,2,2.5,Hall Arts Residences,2504,,2020,200,1118,2399,Active,,,http://www.redfin.com/TX/Dallas/1747-Leonard-St-75201/unit-201/home/172243117,NTREIS,14370915,N,Y,32.7897351,-96.7968038
MLS Listing,,Condo/Co-op,1918 Olive St #3103,Dallas,TX,75201,2395000,2,2.5,Museum Tower Condo,3055,67649,2011,483,784,2657,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-3103/home/30782878,NTREIS,14180715,N,Y,32.7892661,-96.8005498
MLS Listing,,Condo/Co-op,1918 Olive St #604,Dallas,TX,75201,2200000,2,2.0,Museum Tower Condo,2424,67649,2011,48,908,2109,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-604/home/30782907,NTREIS,14475832,N,Y,32.7892661,-96.8005498
MLS Listing,,Condo/Co-op,1918 Olive St #2602,Dallas,TX,75201,2400000,2,2.5,Museum Tower Condo,3729,,2011,106,644,3244,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-2602/home/30782890,NTREIS,14441670,N,Y,32.7892661,-96.8005498
MLS Listing,,Condo/Co-op,1918 Olive St #2101,Dallas,TX,75201,2900000,2,2.5,Museum Tower Condo,3760,,2011,123,771,3384,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-2101/home/30782859,NTREIS,14429215,N,Y,32.7892661,-96.8005498
MLS Listing,,Condo/Co-op,1918 Olive St #4201,Dallas,TX,75201,9975000,3,3.5,Museum Tower Condo,4678,67649,2020,89,2132,4210,Active,,,http://www.redfin.com/TX/Dallas/1918-Olive-St-75201/unit-4201/home/30782793,NTREIS,14445786,N,Y,32.7892661,-96.8005498
MLS Listing,,Townhouse,2711 Gaston Ave,Dallas,TX,75226,396000,2,2.5,Benavides Meadows,2127,1568,2002,226,186,75,Active,,,http://www.redfin.com/TX/Dallas/2711-Gaston-Ave-75226/home/32256094,NTREIS,14351759,N,Y,32.786645,-96.78642
MLS Listing,,Condo/Co-op,2200 Victory Ave #1905,Dallas,TX,75219,895000,2,2.5,The House Condos,2558,53709,2007,341,350,1998,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-1905/home/30782324,NTREIS,14273631,N,Y,32.7847939,-96.80978
MLS Listing,,Condo/Co-op,2200 Victory Ave #1507,Dallas,TX,75219,679000,2,2.5,House,1756,53709,2007,62,387,1530,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-1507/home/30782364,NTREIS,14467834,N,Y,32.7847939,-96.80978
MLS Listing,,Condo/Co-op,2200 Victory Ave #2202,Dallas,TX,75219,1495000,3,3.0,The House Condos,2813,53709,2007,208,531,2296,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-2202/home/30782504,NTREIS,14365994,N,Y,32.7847939,-96.80978
MLS Listing,,Condo/Co-op,2200 Victory Ave #1306,Dallas,TX,75219,410000,1,1.5,House,1212,,2007,95,338,936,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-1306/home/30782352,NTREIS,14443517,N,Y,32.7847939,-96.80978
MLS Listing,,Condo/Co-op,2200 Victory Ave #2201,Dallas,TX,75219,599000,1,1.5,House,1540,53709,2007,8,389,1269,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-2201/home/30782503,NTREIS,14487000,N,Y,32.7847939,-96.80978
MLS Listing,,Condo/Co-op,2200 Victory Ave #1602,Dallas,TX,75219,799000,2,2.5,House,1706,53709,2007,155,468,1427,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-1602/home/30782335,NTREIS,14404684,N,Y,32.7847939,-96.80978
MLS Listing,,Condo/Co-op,2200 Victory Ave #802,Dallas,TX,75219,749000,2,2.5,House,1757,53709,2007,54,426,1379,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-802/home/30782285,NTREIS,14470005,N,Y,32.7847939,-96.80978
MLS Listing,,Condo/Co-op,1803 Richardson Ave #104,Dallas,TX,75215,429000,2,2.5,Richardson Square Southside,2098,10716,2020,20,204,350,Active,January-9-2021 02:00 PM,January-9-2021 04:00 PM,http://www.redfin.com/TX/Dallas/1803-Richardson-Ave-75215/unit-104/home/173181946,NTREIS,14486677,N,Y,32.7689949,-96.783599
MLS Listing,,Condo/Co-op,2323 N Houston St #714,Dallas,TX,75219,399900,2,2.0,Terrace Condos,1206,39640,2005,241,332,678,Active,,,http://www.redfin.com/TX/Dallas/2323-N-Houston-St-75219/unit-714/home/30765982,NTREIS,14334528,N,Y,32.7850316,-96.8100004
MLS Listing,,Condo/Co-op,2323 N Houston St N #310,Dallas,TX,75219,350000,2,2.0,Terrace Condos,1382,39727,2005,99,253,775,Active,,,http://www.redfin.com/TX/Dallas/2323-N-Houston-St-75219/unit-310/home/30765333,NTREIS,14445165,N,Y,32.7850316,-96.8100004
MLS Listing,,Condo/Co-op,1999 Mckinney Ave #404,Dallas,TX,75201,899000,2,2.0,Mckinney Condo 1999,2387,,2000,255,377,1337,Active,,,http://www.redfin.com/TX/Dallas/1999-McKinney-Ave-75201/unit-404/home/30729115,NTREIS,14330901,N,Y,32.7907753,-96.8037039
MLS Listing,,Condo/Co-op,1999 Mckinney Ave #1805,Dallas,TX,75201,915000,2,2.0,Mckinney Condo 1999,2421,29098,2000,4,378,1356,Active,,,http://www.redfin.com/TX/Dallas/1999-McKinney-Ave-75201/unit-1805/home/30731907,NTREIS,14494458,N,Y,32.7907753,-96.8037039
MLS Listing,,Condo/Co-op,1999 Mckinney Ave #1207,Dallas,TX,75201,775000,2,2.0,Mckinney Condo 1999,2386,29098,2000,134,325,1354,Active,,,http://www.redfin.com/TX/Dallas/1999-McKinney-Ave-75201/unit-1207/home/30731546,NTREIS,14422096,N,Y,32.7907753,-96.8037039
MLS Listing,,Condo/Co-op,1999 Mckinney Ave #1408,Dallas,TX,75201,1400000,3,2.5,Mckinney Condo 1999,3107,29098,2000,112,451,1744,Active,,,http://www.redfin.com/TX/Dallas/1999-McKinney-Ave-75201/unit-1408/home/30731897,NTREIS,14435670,N,Y,32.7907753,-96.8037039
MLS Listing,,Condo/Co-op,2430 Victory Park #2601,Dallas,TX,75219,405000,1,1.0,Residences,825,71874,2004,123,491,743,Active,,,http://www.redfin.com/TX/Dallas/2430-Victory-Park-Ln-75219/unit-2601/home/30745421,NTREIS,14430377,N,Y,32.7884951,-96.8092139
MLS Listing,,Condo/Co-op,1001 Liberty St #127,Dallas,TX,75204,179900,1,1.0,Bryan Place Ph 05 Sec 01 & 02,636,41077,1983,18,283,222,Active,,,http://www.redfin.com/TX/Dallas/1001-Liberty-St-75204/unit-127/home/31163872,NTREIS,14489499,N,Y,32.7925002,-96.7906819
MLS Listing,,Condo/Co-op,3030 Bryan St #303,Dallas,TX,75204,575000,2,2.0,Thirty Thirty Bryan Condo,1993,47437,2005,2,289,770,Active,January-10-2021 01:00 PM,January-10-2021 03:00 PM,http://www.redfin.com/TX/Dallas/3030-Bryan-St-75204/unit-303/home/30776754,NTREIS,14495711,N,Y,32.7913382,-96.7882938
MLS Listing,,Condo/Co-op,3030 Bryan St #311,Dallas,TX,75204,423000,1,1.5,Thirty Thirty Bryan Condo,1512,47480,2005,45,280,642,Active,,,http://www.redfin.com/TX/Dallas/3030-Bryan-St-75204/unit-311/home/30776731,NTREIS,14477475,N,Y,32.7913382,-96.7882938
MLS Listing,,Condo/Co-op,2300 Leonard St #307,Dallas,TX,75201,483000,1,1.5,Metropolitan Club,1340,22651,2004,467,360,494,Active,,,http://www.redfin.com/TX/Dallas/2300-Leonard-St-75201/unit-307/home/30745888,NTREIS,14195008,N,Y,32.7934469,-96.8008546
MLS Listing,,Condo/Co-op,2300 Leonard St #305,Dallas,TX,75201,439000,1,1.5,Metropolitan Club,1340,22651,2004,178,328,494,Active,,,http://www.redfin.com/TX/Dallas/2300-Leonard-St-75201/unit-305/home/30745886,NTREIS,14388160,N,Y,32.7934469,-96.8008546
